Overall.bucket,sample,Cyano,Green.Algae,Diatoms,Total.Conc.,Reflection
84,4,0.15,0.0,0.77,0.92,37.0
85,4,0.09,0.0,0.35,0.44,44.0
86,4,0.35,0.0,2.69,3.04,11.0
87,4,0.24,0.0,0.97,1.21,37.0
88,4,0.27,0.0,1.25,1.52,34.0
89,4,0.21,0.0,1.37,1.58,18.0
90,4,0.22,0.03,1.01,1.26,43.0
92,4,0.07,0.0,0.4,0.47,43.0
91,4,0.15,0.0,0.73,0.88,39.0
93,4,0.5,0.0,2.08,2.58,26.0
94,4,0.13,0.0,0.64,0.77,32.0
95,4,0.22,0.0,0.76,0.98,34.0
96,4,0.26,0.0,1.03,1.29,31.0
97,4,0.1,0.0,0.46,0.56,39.0
98,4,0.18,0.0,0.68,0.86,24.0
99,4,0.42,0.0,1.73,2.15,16.0
100,4,0.34,0.0,1.55,1.89,38.0
101,4,0.35,0.0,1.3,1.65,17.0
102,4,0.43,0.0,2.52,2.95,20.0
103,4,0.26,0.0,1.32,1.58,12.0
104,4,0.19,0.0,0.85,1.04,26.0
105,4,0.15,0.0,0.66,0.81,47.0
106,4,0.17,0.0,0.72,0.89,26.0
107,4,0.08,0.0,0.42,0.5,58.0
108,4,0.12,0.0,0.59,0.71,51.0
109,4,0.08,0.0,0.55,0.63,31.0
110,4,0.04,0.0,0.26,0.3,61.0
111,4,0.06,0.0,0.38,0.44,48.0
112,4,0.07,0.0,0.52,0.59,43.0
113,4,0.18,0.0,0.79,0.97,40.0
114,4,0.06,0.0,0.37,0.43,55.0
115,4,0.26,0.0,1.55,1.81,28.0
116,4,0.09,0.0,0.61,0.7,47.0
117,4,0.17,0.0,0.64,0.81,20.0
118,4,0.11,0.0,0.59,0.7,36.0
119,4,0.21,0.0,1.37,1.58,25.0
120,4,0.16,0.0,0.85,1.01,40.0
121,4,0.14,0.0,0.7,0.84,42.0
122,4,0.25,0.0,0.95,1.2,22.0
123,4,0.17,0.0,0.99,1.16,36.0
124,4,0.05,0.0,0.37,0.42,54.0
125,4,0.17,0.0,0.88,1.05,20.0
126,4,0.13,0.0,0.56,0.69,37.0
127,4,0.15,0.0,0.85,1.0,41.0
128,4,0.23,0.42,0.76,1.41,42.0
129,4,0.11,0.0,0.75,0.86,50.0
130,4,0.39,0.0,2.99,3.38,11.0
131,4,0.24,0.0,1.09,1.33,25.0
132,4,0.25,0.0,1.15,1.4,17.0
133,4,0.36,0.0,1.1,1.46,25.0
134,4,0.15,0.0,0.76,0.91,40.0
135,4,0.2,0.0,1.0,1.2,35.0
136,4,0.02,0.07,0.13,0.22,57.0
137,4,0.09,0.0,0.95,1.04,38.0
138,4,0.13,0.0,0.8,0.93,29.0
139,4,0.12,0.0,0.52,0.64,46.0
140,4,0.1,0.0,0.53,0.63,44.0
141,4,0.11,0.51,0.37,0.99,50.0
142,4,0.21,0.0,1.01,1.22,26.0
143,4,0.16,0.0,0.78,0.94,44.0
144,4,0.16,0.0,0.63,0.79,53.0
